Date,EDU140_Drawdown,MSCI_ACWI_Future_Education_Drawdown,Relative
2020-05-31,0.0,0.0,0.0
2020-06-30,0.0,0.0,0.0
2020-07-31,0.0,0.0,-1.880916976621816
2020-08-31,0.0,0.0,-3.4371309163213404
2020-09-30,-6.376190401748538,0.0,-10.6844062770168
2020-10-31,-11.53773853686012,-2.692161150248029,-13.203919648954631
2020-11-30,0.0,0.0,-7.186215045168187
2020-12-31,0.0,0.0,-10.23193250572827
2021-01-31,-2.917168559708949,0.0,-17.534679155874322
2021-02-28,-2.6921395520133173,0.0,-19.598353502240386
2021-03-31,-2.34572383240792,-7.84776729975002,-13.002389736190146
2021-04-30,-2.1961398688860267,-3.0417289265201486,-17.406337405583074
2021-05-31,-2.3637315579556173,-8.117002108560122,-13.224506813709114
2021-06-30,0.0,-7.555336701478643,-10.252223169820274
2021-07-31,-1.5241744888030873,-14.302469153245445,-5.0698374081398985
2021-08-31,-4.506431298640379,-14.413898441532558,-7.821282691885201
2021-09-30,-13.070405962196629,-19.037189830902257,-11.108558500465815
2021-10-31,-14.687976208781816,-16.097718505851432,-15.989966146116263
2021-11-30,-22.19331525326679,-16.44572410280403,-23.0323098893107
2021-12-31,-21.798592482696122,-16.094126067080992,-22.96572499375965
2022-01-31,-23.71323256849428,-26.134582669268248,-15.633611485620701
2022-02-28,-26.11032789734663,-27.465997471531534,-16.763892515111955
2022-03-31,-18.72668491550501,-27.870667494191924,-7.98190198345321
2022-04-30,-22.651932547429453,-35.888775835433066,-2.19708721859897
2022-05-31,-27.44023587709702,-36.254710586276396,-7.69342603911719
2022-06-30,-33.093920113790155,-41.67815686473296,-7.03229568222593
2022-07-31,-29.565072661728166,-36.39176339721995,-10.555626834435493
2022-08-31,-31.02173373714009,-40.03303096000631,-7.285158361529542
2022-09-30,-34.35877977348384,-46.52544473821523,-1.732626479513566
2022-10-31,-24.739781714253784,-45.036854005036574,0.0
2022-11-30,-24.37760547271317,-39.78942896634179,-9.065938112910121
2022-12-31,-28.346780750924815,-41.62492681161606,-11.066680826491936
2023-01-31,-21.534843234445066,-34.799314313981796,-13.01064799106828
2023-02-28,-29.449987558288615,-37.948900458403976,-17.58355736003958
2023-03-31,-33.6627741771782,-36.63342635814283,-24.25214614921628
2023-04-30,-28.50597152802824,-38.021455932308136,-16.704558665480405
2023-05-31,-28.08421351212006,-35.998527125447275,-18.931876518570036
2023-06-30,-25.463046621494946,-33.08167902234279,-19.671783387511034
2023-07-31,-19.44535179568184,-23.89217066519732,-24.21754674806571
2023-08-31,-19.68949051086355,-27.667489048673623,-20.688044121019356
2023-09-30,-23.89440703624771,-28.78828310715479,-23.611737410421696
2023-10-31,-25.541823017298427,-29.099574971072183,-24.931351790515343
2023-11-30,-8.890938401259007,-20.28612018150745,-17.475545317974372
2023-12-31,-3.3164033509959667,-17.340993954406514,-15.475228330179135
2024-01-31,0.0,-19.949595971182564,-9.12305921540475
2024-02-29,-3.7660867502404938,-15.114886091914425,-18.034151097425354
2024-03-31,-2.036616114062695,-18.997941219455818,-12.811585558950423
2024-04-30,-8.126843202731681,-22.941643589884443,-13.987055967283023
2024-05-31,-8.753036769827904,-23.54826221120009,-13.896196302854136
2024-06-30,-11.83147213452468,-21.492280208063384,-19.116665479037287
2024-07-31,-5.9805766083702245,-20.28982004708463,-14.988064191962103
2024-08-31,-7.826672439512217,-20.149778574508336,-16.80665169984553
2024-09-30,-8.373924148642619,-16.59547655509279,-21.00369911195894
2024-10-31,-7.42647014701755,-16.340833957923586,-20.42802638892587
2024-11-30,-2.0801461303749047,-7.211877149799539,-24.515529727166317
2024-12-31,-1.96699632767382,-11.61122321067889,-20.849373601626787
2025-01-31,0.0,-6.6272737494337814,-21.761780416499978
2025-02-28,0.0,-8.667639395986038,-17.34351974429841
2025-03-31,0.0,-13.10741341659738,-8.319434228570898
