Date,EDU140_Cumulative,MSCI_ACWI_Future_Education_Cumulative,Relative
2020-05-31,1.031436805542357,1.0578619915817091,0.9735748139606478
2020-06-30,1.151253252943805,1.1509504850291514,1.0009982563851132
2020-07-31,1.2305358803816666,1.2518606850065293,0.9821703102450773
2020-08-31,1.2341015684239491,1.2753432535257117,0.9665926358430629
2020-09-30,1.155412902670273,1.2897425151711273,0.8940475358470734
2020-10-31,1.091714156179904,1.2550205682394584,0.868827250924586
2020-11-30,1.2783075535307213,1.3825134508473937,0.9290643690828949
2020-12-31,1.3084236606662836,1.4604522542150795,0.8985767904082715
2021-01-31,1.2702547370095338,1.536658051640276,0.8254764237720873
2021-02-28,1.273199069789586,1.578674371946732,0.8048190795474962
2021-03-31,1.2777316550291704,1.4547836808155623,0.870844561837453
2021-04-30,1.2796888470004533,1.530655376919668,0.8267611224547169
2021-05-31,1.2774960376873565,1.4505333398885174,0.8686211737643544
2021-06-30,1.3290626797185663,1.4594002077262032,0.8983736812145017
2021-07-31,1.3088054454140932,1.3528849568688595,0.9502492723280725
2021-08-31,1.2691693831411803,1.351125851251828,0.9227073530123917
2021-09-30,1.1553487919873004,1.2781391349474287,0.8898017794859301
2021-10-31,1.1338502695217052,1.324543815426729,0.8409389740659196
2021-11-30,1.0340996092951094,1.3190499402546982,0.7704452359878972
2021-12-31,1.0393457223271152,1.3246005283369258,0.771111749631379
2022-01-31,1.0138989554958404,1.166094413131762,0.8445060780040272
2022-02-28,0.9820400560827868,1.1450757088641264,0.8331919846065681
2022-03-31,1.0801732993581028,1.1386872869254356,0.9210995567043778
2022-04-30,1.0280042979956583,1.0121074654273385,0.9790054516356773
2022-05-31,0.9643647454493253,1.0063305472977278,0.9239871958772718
2022-06-30,0.8892237382303053,0.9207119908234351,0.930605099222186
2022-07-31,0.9361243327398607,1.0041669296953293,0.8953366158218948
2022-08-31,0.9167643940165737,0.9466831718676116,0.9280739482113082
2022-09-30,0.8724129605425012,0.8441890994302889,0.9836546955355157
2022-10-31,1.0002554739105811,0.8676890998381542,1.100416105137764
2022-11-30,1.0050690231717048,0.9505288541111446,1.0006530620614782
2022-12-31,0.9523161958563782,0.9215523200301653,0.9786365670188536
2023-01-31,1.0428511151536584,1.0293065152587106,0.9572448392612656
2023-02-28,0.9376538858995913,0.9795848059743325,0.9069238080917518
2023-03-31,0.8816633111717521,1.0003518584647522,0.83354158307024
2023-04-30,0.9502004506483427,0.9784393913023631,0.9165964512906316
2023-05-31,0.9558058790364997,1.0103748499390033,0.8920866869226246
2023-06-30,0.9906428299529377,1.0564223834113282,0.8839446325737773
2023-07-31,1.0706217660621749,1.2014947967534868,0.833922320452782
2023-08-31,1.0673770095119504,1.1418948129741529,0.8727615357920605
2023-09-30,1.0114910332597509,1.124201124410609,0.8405887439706452
2023-10-31,0.9895958422758863,1.1192868395329898,0.8260674948063808
2023-11-30,1.2108965355506662,1.25842259157896,0.9081123899981255
2023-12-31,1.284985600471543,1.3049165445476842,0.9301242002856308
2024-01-31,1.3410019441046444,1.263735213042755,1.000024492250195
2024-02-29,1.290498647567252,1.340059538864738,0.9019654020368165
2024-03-31,1.313690882421115,1.2787587427176785,0.9594353543235694
2024-04-30,1.2320208187616764,1.216500524089866,0.9465002886391488
2024-05-31,1.2236235508530577,1.2069239913796994,0.9475001230195984
2024-06-30,1.182341672764469,1.2393812523550556,0.8900532394411264
2024-07-31,1.260802295517732,1.2583641827492966,0.9354850329210267
2024-08-31,1.2360461145320831,1.2605749815869554,0.9154730030982539
2024-09-30,1.2287074584734985,1.3166858366690537,0.8692880174350902
2024-10-31,1.241412835054788,1.3207058140906236,0.8756228127922313
2024-11-30,1.3131071440560993,1.4648223156465643,0.8306432677601896
2024-12-31,1.3146244851100715,1.395370966850214,0.8709862402051213
2025-01-31,1.3735974921114043,1.4740512997056676,0.8609459686698822
2025-02-28,1.4211515188370876,1.4418405701495418,0.9095652206737563
2025-03-31,1.5072229857745782,1.3717509955138016,1.008867711030226
